"Ticker";"Nome";"Preco Atual";"Setor"
"IRIF11";"IRIF11";8.61;""
"IRIM11";"IRIM11";65.38;"Multicategoria"
"ITIP11";"ITIP11";58.15;"Outros"
"ITIT11";"ITIT11";58.26;"Outros"
"ITRI11";"ITRI11";79.33;"Outros"
"JASC11";"JASC11";99.28;"Varejo"
"JCCJ11";"JCCJ11";140;"Shoppings"
"JFLL11";"JFLL11";55.51;"Multicategoria"
"JGPX11";"JGPX11";61.85;"Outros"
"JMBI11";"JMBI11";85.33;""
"JPPA11";"JPPA11";82.49;"Multicategoria"
"JPRD11";"JPRD11";100;""
"JSAF11";"JSAF11";7.21;"Multicategoria"
"JSCR11";"JSCR11";7.9;"Multicategoria"
"JSRE11";"JSRE11";60.6;"Multicategoria"
"JURO11";"JURO11";97.64;""
"KCRE11";"KCRE11";8.99;"Multicategoria"
"KDIF11";"KDIF11";121.5;""
"KDOL11";"KDOL11";86.5;"Multicategoria"
"KEVE11";"KEVE11";500;"Residencial"
"KFOF11";"KFOF11";78.86;"Multicategoria"
"KISU11";"KISU11";6.46;"Outros"
"KIVO11";"KIVO11";57.96;"Outros"
"KNCA11";"KNCA11";91.1;"Títulos e Val. Mob."
"KNCR11";"KNCR11";108.1;"Multicategoria"
"KNHF11";"KNHF11";95.58;"Multicategoria"
"KNHY11";"KNHY11";99.97;"Multicategoria"
"KNIP11";"KNIP11";91.97;"Multicategoria"
"KNOX11";"KNOX11";99.4;""
"KNPR11";"KNPR11";70;"Multicategoria"
"KNRE11";"KNRE11";0.34;"Residencial"
"KNRI11";"KNRI11";156.56;"Multicategoria"
"KNSC11";"KNSC11";9.16;"Multicategoria"
"KNUQ11";"KNUQ11";105.96;""
"KOPA11";"KOPA11";294.5;"Títulos e Val. Mob."
"KORE11";"KORE11";65.77;"Outros"
"LAFI11";"LAFI11";121;"Outros"
"LASC11";"LASC11";110;"Shoppings"
"LIFE11";"LIFE11";6.88;"Residencial"
"LMAI11";"LMAI11";36.76;"Multicategoria"
"LPLP11";"LPLP11";225;"Residencial"
"LRDI11";"LRDI11";111.8;"Multicategoria"
"LSAG11";"LSAG11";77.76;"Títulos e Val. Mob."
"LSOP11";"LSOP11";10.6;"Multicategoria"
"LVBI11";"LVBI11";103.79;"Logística"
"MAGM11";"MAGM11";10;""
"MANA11";"MANA11";9.1;"Outros"
"MAXR11";"MAXR11";50.21;"Multicategoria"
"MCCI11";"MCCI11";94.95;"Multicategoria"
"MCLO11";"MCLO11";10.4;"Logística"
"MCRE11";"MCRE11";8.6;"Multicategoria"
"MFII11";"MFII11";53.15;"Multicategoria"
"MGHT11";"MGHT11";12.3;"Hotel"
"MIDW11";"MIDW11";10.65;"Multicategoria"
"MMPD11";"MMPD11";67.92;"Multicategoria"
"MMVE11";"MMVE11";147;"Outros"
"MXRF11";"MXRF11";9.68;"Logística"
"NAVT11";"NAVT11";74.97;""
"NCRI11";"NCRI11";9.06;"Outros"
"NEWL11";"NEWL11";103.48;"Multicategoria"
"NEWU11";"NEWU11";117.6;"Multicategoria"
"NEXG11";"NEXG11";130.03;"Outros"
"NSLU11";"NSLU11";172.41;"Hospital"
"NUIF11";"NUIF11";85.91;""
"NVHO11";"NVHO11";12.79;"Hospital"
"NVRP11";"NVRP11";79.6;""
"OCRE11";"OCRE11";62.98;"Multicategoria"
"OGIN11";"OGIN11";7.73;""
"OIAG11";"OIAG11";8.18;"Outros"
"ONDA11";"ONDA11";7.28;"Outros"
"OUJP11";"OUJP11";73.47;"Multicategoria"
"PABY11";"PABY11";24.73;"Multicategoria"
"PATA11";"PATA11";10;"Outros"
"PATC11";"PATC11";39.96;"Outros"
"PCIP11";"PCIP11";76.71;"Outros"
"PDBM11";"PDBM11";109.24;"Outros"
"PFIN11";"PFIN11";63.34;""
"PICE11";"PICE11";31;""
"PLAG11";"PLAG11";62.26;"Outros"
"PLCA11";"PLCA11";73.19;"Títulos e Val. Mob."
"PLRI11";"PLRI11";7.94;"Multicategoria"
"PMFO11";"PMFO11";86.5;"Outros"
"PMIS11";"PMIS11";7.74;"Outros"
"PMLL11";"PMLL11";100.48;"Shoppings"
"PMRL11";"PMRL11";108.95;""
"PORD11";"PORD11";8.45;"Multicategoria"
"PPEI11";"PPEI11";84.35;""
"PQAG11";"PQAG11";56.99;"Logística"
"PQDP11";"PQDP11";2452.03;"Shoppings"
"PRIF11";"PRIF11";93.51;""
"PRSN11";"PRSN11";4.81;"Multicategoria"
"PRSV11";"PRSV11";33.82;"Escritórios"
"PSEC11";"PSEC11";55.36;"Outros"
"PVBI11";"PVBI11";72.29;"Escritórios"
"RBDS11";"RBDS11";1.74;"Residencial"
"RBFM11";"RBFM11";10.4;"Outros"
"RBFY11";"RBFY11";72;"Residencial"
"RBHG11";"RBHG11";60.88;"Outros"
"RBHY11";"RBHY11";70.61;"Outros"
"RBIR11";"RBIR11";72.57;"Residencial"
"RBLG11";"RBLG11";17.73;""
"RBOP11";"RBOP11";228.73;"Outros"
"RBRD11";"RBRD11";37.05;"Multicategoria"
"RBRI11";"RBRI11";225.02;"Multicategoria"
"RBRL11";"RBRL11";71.98;"Logística"
"RBRP11";"RBRP11";47.88;"Outros"
"RBRR11";"RBRR11";76.52;"Multicategoria"
"RBRS11";"RBRS11";40;"Residencial"
"RBRX11";"RBRX11";7.9;"Multicategoria"
"RBRY11";"RBRY11";87.35;"Multicategoria"
